"chaineid","Nom","Code","Numéro","parcours","year","label","Bilan ajouter",,"ajout1","ajout2",,,,,,,,,,,
"","L1 MI promo entière",,14380,,,,,,,,,,,,,,,,,,
"mathinfo*l1*MathInfo2","L1 MI Groupe 2",,14383,"mathinfo","l1","MathInfo2","14380,14527","L1 MI promo entière",14380,"L1 INFO MATHS-INFO 2",14527,,,,,,,,,,
"mathinfo*l1*MathInfo1","L1 MI Groupe 1",,14381,"mathinfo","l1","MathInfo1","14380,14522","L1 MI promo entière",14380,"L1 INFO MATHS-INFO 1",14522,,,,,,,,,,
"math*l1*MATH1","L1 MFA Groupe 1",,14396,"math","l1","MATH1",14399,"L1 MFA promo entière",14399,,,,,,,,,,,,
"math*l1*MATH2","L1 MFA Groupe 2",,14397,"math","l1","MATH2",14399,"L1 MFA promo entière",14399,,,,,,,,,,,,
"math*l1*MATH3","L1 MFA Groupe 3",,14400,"math","l1","MATH3",14399,"L1 MFA promo entière",14399,,,,,,,,,,,,
"math*l1*MATH4","L1 MFA Groupe 3",,61535,"math","l1","MATH4",14399,"L1 MFA promo entière",14399,,,,,,,,,,,,
"","L1 MFA promo entière",,14399,,,,,,,,,,,,,,,,,,
"","L1 MIASHS promo entière",,14414,,,,,,,,,,,,,,,,,,
"miashs*l1*SOCIO","L1 MIASHS SOCIOLOGIE",,14420,"miashs","l1","SOCIO",14414,"L1 MIASHS promo entière",14414,,,,,,,,,,,,
"miashs*l1*LING","L1 MIASHS LINGUISTIQUE",,14419,"miashs","l1","LING",14414,"L1 MIASHS promo entière",14414,,,,,,,,,,,,
"miashs*l1*HIST","L1 MIASHS HISTOIRE",,14418,"miashs","l1","HIST","14414,35854,35867,35875,35907,35913,35925","L1 MIASHS promo entière",14414,"Sources de l'histoire CM01",35854,"Introduction a l'histoire Europeenne de l'epoque moderne CM01",35867,"Introduct. a l'histoire de l'Afrique, de l'Asie, l'Amerique CM01",35875,"Histoire ancienne 1 : initiation a l'histoire grecque CM01",35907,"Histoire medievale 1 CM01",35913,"Histoire contemporaine 1 CM01",35925
