"Algèbre 2","MT12Y010"
"Algèbre et analyse","MT14Y010"
"Algèbre","MT13Y010"
"Algorithmes et programmes","MT13Y030"
"Algorith et programmes","MT13Y030"
"Analyse 2","MT12Y020"
"Analyse","MT13Y020"
"Initiation à la Programmation 1","MT11Y060"
"Mathématiques 1","MT11Y010"
"Maths Discrètes","MT14Y030"
"Méthodologie de la Physique","MT11Y030"
"Mni-projet de mathématiques","MT12Y040"
"Physique 1","MT11Y070"
"Physique 2","MT12E010"
"Préprofessionalisation","MT14Y040"
"Probabilités","MT14Y020"
"Raisonnements mathématiques 1","MT11Y020"
"Raisonnements Mathématiques 2","MT12Y030"
"Simulation Numérique","MT13Y040"
