"Algèbre 2","MT12Y010"
"Algèbre et analyse","MT14Y010"
"Algèbre I","MT35Y010"
"Algèbre","MT13Y010"
"Algorithmique","IF15Y010"
"Analyse 2","MT12Y020"
"Analyse","MT13Y020"
"Anglais","ELCB010"
"Automates et Analyse Lexicale","IF13Y030"
"Bases de Données","IF16Y020"
"Compléments de POO","IF15Y040"
"Concepts Informatiques","IF12Y020"
"Eléments D'algorithmique 1","IF13Y020"
"Eléments d'Algorithmique 2","IF14Y020"
"Grammaires et Analyse Syntaxique","IF16Y030"
"Initiation à la Programmation 1","IF11Y010"
"Initiation à la Programmation 2","IF12Y010"
"Initiation aux Systèmes d'Exploitation","IF11Y030"
"Insertion Professionnelle / Stage","IF16T010"
"Internet et Outils","IF12Y030"
"Langage C","IF14Y030"
"Langages de Script","IF16Y050"
"Linguistique","IF16Y060"
"Logique","IF15E020"
"Machines Virtuelles","IF16Y070"
"Mathématiques 1","MT11Y010"
"Mathématiques Discrètes","IF15E010"
"Méthodologie de la Physique","MT11Y030"
"Outils Logiques","IF14E010"
"Physique 1","MT11Y070"
"Pré-pro 2 - Conduite de projet","IF13Y040"
"Préprofessionalisation","MT14Y040"
"Principes de Fonctionnement des Machines Binaires","IF11Y020"
"Programmation Efficace","IF16Y080"
"Programmation Fonctionnelle","IF15Y030"
"Programmation Orientée Objet","IF13Y010"
"Programmation Réseaux","IF16Y010"
"Programmation Web","IF16Y090"
"Projet de programmation","IF14Y010"
"Raisonnements mathématiques 1","MT11Y020"
"Sécurité Informatique","IF16Y100"
"Systèmes d'Exploitation","IF15Y020"
