"Algèbre Elémentaire 2","MA02Y010"
"Algèbre et Analyse Fondamentales 1","MA03Y010"
"Algèbre et Analyse Fondamentales 2","MA04Y010"
"Analyse Elémentaire 2","MA02Y020"
"Bases de données","MA15Y030"
"Calcul différentiel et topologie","MA15Y010"
"Concepts Informatiques","IF12Y020"
"Initiation à la Programmation 1","IF11Y010"
"Initiation à la Programmation 2","IF12Y010"
"Initiation aux Systèmes d'Exploitation","IF11Y030"
"Mathématiques 1","MT11Y010"
"Méthodes numériques","MA15Y040"
"Optimisation","MA16Y010"
"Préprofessionnalisation 2","MA03Y030"
"Probabilités Discrètes","MA04Y020"
"Probabilités","MA15Y020"
"Programmation Orientée Objet","IF13Y010"
"Projet de programmation","IF14Y010"
"Raisonnement Math. 2","MA02Y030"
"Raisonnements mathématiques 1","MT11Y020"
"Sciences des données","MA16Y070"
"Statistiques et simulations probabilistes","MA16Y020"
"Diversité linguistique","LL02Y060"
"Grammaire et rédaction","LL01Y060"
"Histoire des descriptions du langage","LL01Y020"
"Histoire des langues romanes","LL02Y020"
"La description linguistique : du corpus à l'analyse","LL02Y040"
"Langage et cognition","LL02Y050"
"Langage et société","LL01Y030"
"Le français oral","LL01Y010"
"Les idées reçues sur le langage","LL01Y050"
"Les mots du français","LL02Y070"
"Linguistique des langues des signes","LL01Y040"
"Redécouvrir la grammaire du français","LL02U190"
"Grammaire du français","SL16Y070"
"Initiation à l'enseignement du FLE 1","SL15Y060"
"Inititiation à l'enseignement du FLE 2","SL16Y060"
"Introduction à l'acquisition du langage","SL15Y080"
"Langue non connue et journal d'apprentissage","SL15Y070"
"Linguistique de corpus","SL16Y040"
"Linguistique de terrain - Sociolinguistique","SL16Y050"
"Méthodes expérimentales et psycholinguistique","SL15Y040"
"Morphologie et syntaxe pour le FLE","SL16Y090"
"Morphologie","SL16Y020"
"Phonétique","SL15Y010"
"Phonologie","SL16Y010"
"Pragmatique","SL16Y030"
"Principes de phonétique et de phonologie du français","SL16Y080"
"Sémantique","SL15Y020"
"Stage d'observation","SL16T010"
"Stage et rapport de stage FLE","SL16T030"
"Syntaxe","SL15Y030"
"Tense, aspect, modality","SL4DY081"
"Bases formelles du TAL 1 : aspects symboliques","SL25Y010"
"Introduction au TAL","SL25Y020"
"Projet en TAL L3","SL26Y040"
"Théories syntaxiques","SL26Y010"
"Algorithmique","SL26Y020"
"Langages de Script","IF16Y050"
"Initiation à la linguistique générale", "LT21Y060"
