"Chimie générale 1","PH01Y070"
"Du capteur à l'acq.","PH13E030"
"Electricité","PH23E010"
"Electrocinétique","PH13E040"
"electro de puiss/réseaux","PH14E030"
"Electromagnétisme & Electrocinétique","PH03Y020"
"electromagnétisme","PH24E040"
"Energie et Climat","PH04E020"
"Informatique","PH01Y050"
"Int.à la Relativ. Restr.","PH04E010"
"Interactions Mathématiques-Physique","PH01Y040"
"Intéractions Mathématiques-Physique","PH02E010"
"Mathématiques 1","PH01Y030"
"Mathématiques 3","PH03Y030"
"Mathématiques L2","PH24E050"
"Maths.L1","PH23E040"
"mécanique classique","PH23E050"
"Méthodologie et Outils Mathématiques","PH02Y050"
"Méthodologie et projet orientation/professionnel","PH01Y060"
"Méthodo.","PH23E030"
"Ondes et Vibrations","PH24E010"
"Ondes et vibrations - PhyTech","PH14E060"
"Physique 1","PH01Y080"
"Physique Expérimentale 1","PH02Y040"
"Physique Expérimentale 2","PH03Y040"
"Physique Expérimentale 3","PH04Y030"
"Physique Expérimentale","PH24E020"
"Préprofessionnalisation","PH03E010"
"préprofessionnalisation","PH13E020"
"Prépro","PH14E050"
"proj d'instru et capteur","PH14E020"
"Projet Etude et Professionnel","PH02E020"
"projet physique santé","PH23E020"
"projet professionnel","PH24E060"
"Remise à Niveau en Mathématiques","PH02E030"
"Remise à Niveau en Physique","PH02E040"
"Résistance des materiaux","PH13E010"
"Thermodynamique","PH03Y010"
"Thermodynamique PhyTech","PH13E050"
"trait d'image /filtrage","PH14E040"
